REF_AREA,TIME_PERIOD,MEASURE,SEX,AGE,UNIT,OBS_VALUE
CAN,2017,ICISCACR,M,Y45T54,NUM,185
CAN,2017,ICISCACR,M,Y55T64,NUM,480
CAN,2017,ICISCACR,M,Y65T74,NUM,775
CAN,2017,ICISCACR,M,Y75T84,NUM,900
CAN,2017,ICISCACR,M,Y85T_O,NUM,635
CAN,2017,ICISCACR,F,Y45T54,NUM,105
CAN,2017,ICISCACR,F,Y55T64,NUM,275
CAN,2017,ICISCACR,F,Y65T74,NUM,590
CAN,2017,ICISCACR,F,Y75T84,NUM,915
CAN,2017,ICISCACR,F,Y85T_O,NUM,960
CAN,2018,ICISCACR,M,Y45T54,NUM,180
CAN,2018,ICISCACR,M,Y55T64,NUM,505
CAN,2018,ICISCACR,M,Y65T74,NUM,845
CAN,2018,ICISCACR,M,Y75T84,NUM,970
CAN,2018,ICISCACR,M,Y85T_O,NUM,695
CAN,2018,ICISCACR,F,Y45T54,NUM,105
CAN,2018,ICISCACR,F,Y55T64,NUM,290
CAN,2018,ICISCACR,F,Y65T74,NUM,560
CAN,2018,ICISCACR,F,Y75T84,NUM,975
CAN,2018,ICISCACR,F,Y85T_O,NUM,970
CAN,2019,ICISCACR,M,Y45T54,NUM,180
CAN,2019,ICISCACR,M,Y55T64,NUM,495
CAN,2019,ICISCACR,M,Y65T74,NUM,815
CAN,2019,ICISCACR,M,Y75T84,NUM,1020
CAN,2019,ICISCACR,M,Y85T_O,NUM,660
CAN,2019,ICISCACR,F,Y45T54,NUM,135
CAN,2019,ICISCACR,F,Y55T64,NUM,295
CAN,2019,ICISCACR,F,Y65T74,NUM,570
CAN,2019,ICISCACR,F,Y75T84,NUM,875
CAN,2019,ICISCACR,F,Y85T_O,NUM,990
CAN,2017,ICISCACR,M,Y45T54,DEN,895
CAN,2017,ICISCACR,M,Y55T64,DEN,2100
CAN,2017,ICISCACR,M,Y65T74,DEN,2940
CAN,2017,ICISCACR,M,Y75T84,DEN,2815
CAN,2017,ICISCACR,M,Y85T_O,DEN,1625
CAN,2017,ICISCACR,F,Y45T54,DEN,505
CAN,2017,ICISCACR,F,Y55T64,DEN,1110
CAN,2017,ICISCACR,F,Y65T74,DEN,2010
CAN,2017,ICISCACR,F,Y75T84,DEN,2845
CAN,2017,ICISCACR,F,Y85T_O,DEN,2835
CAN,2018,ICISCACR,M,Y45T54,DEN,925
CAN,2018,ICISCACR,M,Y55T64,DEN,2290
CAN,2018,ICISCACR,M,Y65T74,DEN,3085
CAN,2018,ICISCACR,M,Y75T84,DEN,2870
CAN,2018,ICISCACR,M,Y85T_O,DEN,1695
CAN,2018,ICISCACR,F,Y45T54,DEN,490
CAN,2018,ICISCACR,F,Y55T64,DEN,1180
CAN,2018,ICISCACR,F,Y65T74,DEN,2015
CAN,2018,ICISCACR,F,Y75T84,DEN,2940
CAN,2018,ICISCACR,F,Y85T_O,DEN,2780
CAN,2019,ICISCACR,M,Y45T54,DEN,920
CAN,2019,ICISCACR,M,Y55T64,DEN,2230
CAN,2019,ICISCACR,M,Y65T74,DEN,3150
CAN,2019,ICISCACR,M,Y75T84,DEN,3075
CAN,2019,ICISCACR,M,Y85T_O,DEN,1715
CAN,2019,ICISCACR,F,Y45T54,DEN,570
CAN,2019,ICISCACR,F,Y55T64,DEN,1195
CAN,2019,ICISCACR,F,Y65T74,DEN,2120
CAN,2019,ICISCACR,F,Y75T84,DEN,2830
CAN,2019,ICISCACR,F,Y85T_O,DEN,2895
CAN,2017,ICISCACR,M,Y45T54,CRUDE_RATE_MPOP,20.67039106
CAN,2017,ICISCACR,M,Y55T64,CRUDE_RATE_MPOP,22.85714286
CAN,2017,ICISCACR,M,Y65T74,CRUDE_RATE_MPOP,26.36054422
CAN,2017,ICISCACR,M,Y75T84,CRUDE_RATE_MPOP,31.97158082
CAN,2017,ICISCACR,M,Y85T_O,CRUDE_RATE_MPOP,39.07692308
CAN,2017,ICISCACR,F,Y45T54,CRUDE_RATE_MPOP,20.79207921
CAN,2017,ICISCACR,F,Y55T64,CRUDE_RATE_MPOP,24.77477477
CAN,2017,ICISCACR,F,Y65T74,CRUDE_RATE_MPOP,29.35323383
CAN,2017,ICISCACR,F,Y75T84,CRUDE_RATE_MPOP,32.16168717
CAN,2017,ICISCACR,F,Y85T_O,CRUDE_RATE_MPOP,33.86243386
CAN,2017,ICISCACR,T,Y45T54,CRUDE_RATE_MPOP,20.71428571
CAN,2017,ICISCACR,T,Y55T64,CRUDE_RATE_MPOP,23.52024922
CAN,2017,ICISCACR,T,Y65T74,CRUDE_RATE_MPOP,27.57575758
CAN,2017,ICISCACR,T,Y75T84,CRUDE_RATE_MPOP,32.06713781
CAN,2017,ICISCACR,T,Y85T_O,CRUDE_RATE_MPOP,35.76233184
CAN,2018,ICISCACR,M,Y45T54,CRUDE_RATE_MPOP,19.45945946
CAN,2018,ICISCACR,M,Y55T64,CRUDE_RATE_MPOP,22.05240175
CAN,2018,ICISCACR,M,Y65T74,CRUDE_RATE_MPOP,27.39059968
CAN,2018,ICISCACR,M,Y75T84,CRUDE_RATE_MPOP,33.79790941
CAN,2018,ICISCACR,M,Y85T_O,CRUDE_RATE_MPOP,41.00294985
CAN,2018,ICISCACR,F,Y45T54,CRUDE_RATE_MPOP,21.42857143
CAN,2018,ICISCACR,F,Y55T64,CRUDE_RATE_MPOP,24.57627119
CAN,2018,ICISCACR,F,Y65T74,CRUDE_RATE_MPOP,27.79156328
